PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Keegan Murray,SAC,SAC vs. BOS,01/01/2026,L,38,7,3,13,23.1,1,4,25.0,0,0,-,1,5,6,4,0,1,0,1,-7,23.2
Luka Garza,BOS,BOS @ SAC,01/01/2026,W,25,11,5,6,83.3,1,1,100,0,0,-,1,2,3,2,2,0,0,1,16,23.6
Russell Westbrook,SAC,SAC vs. BOS,01/01/2026,L,27,10,3,11,27.3,2,9,22.2,2,2,100,1,2,3,6,0,0,3,5,-14,19.6
Keon Ellis,SAC,SAC vs. BOS,01/01/2026,L,27,16,6,10,60.0,3,6,50.0,1,2,50.0,0,1,1,1,1,0,1,3,-6,20.7
Malik Monk,SAC,SAC vs. BOS,01/01/2026,L,6,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,0,-2,1.5
Payton Pritchard,BOS,BOS @ SAC,01/01/2026,W,31,16,6,13,46.2,2,8,25.0,2,2,100,2,1,3,6,1,1,2,2,4,32.6
Jaylen Brown,BOS,BOS @ SAC,01/01/2026,W,35,29,11,25,44.0,1,9,11.1,6,7,85.7,1,9,10,4,0,0,5,6,-2,42.0
Anfernee Simons,BOS,BOS @ SAC,01/01/2026,W,30,14,5,13,38.5,4,7,57.1,0,0,-,0,2,2,4,0,0,2,0,12,20.4
Precious Achiuwa,SAC,SAC vs. BOS,01/01/2026,L,22,14,5,9,55.6,2,4,50.0,2,2,100,0,3,3,2,2,1,1,1,-7,28.6
Nique Clifford,SAC,SAC vs. BOS,01/01/2026,L,16,0,0,2,0.0,0,1,0.0,0,0,-,2,0,2,1,3,0,1,2,-8,11.9
Hugo González,BOS,BOS @ SAC,01/01/2026,W,19,3,1,2,50.0,1,1,100,0,0,-,1,5,6,1,1,0,0,2,20,14.7
Drew Eubanks,SAC,SAC vs. BOS,01/01/2026,L,7,4,2,2,100,0,0,-,0,0,-,1,0,1,0,0,0,1,0,-4,4.2
Kawhi Leonard,LAC,LAC vs. UTA,01/01/2026,W,39,45,16,29,55.2,6,16,37.5,7,9,77.8,0,7,7,3,2,2,3,2,8,66.9
Cam Christie,LAC,LAC vs. UTA,01/01/2026,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3,0.0
John Collins,LAC,LAC vs. UTA,01/01/2026,W,20,8,2,3,66.7,0,1,0.0,4,4,100,3,8,11,0,2,1,1,4,12,29.2
Brice Sensabaugh,UTA,UTA @ LAC,01/01/2026,L,32,20,7,15,46.7,0,5,0.0,6,8,75.0,0,3,3,3,2,0,5,1,-14,29.1
Kobe Sanders,LAC,LAC vs. UTA,01/01/2026,W,24,10,4,7,57.1,2,5,40.0,0,0,-,1,3,4,3,1,0,2,3,13,20.3
Kris Dunn,LAC,LAC vs. UTA,01/01/2026,W,24,2,1,4,25.0,0,2,0.0,0,0,-,2,0,2,2,1,0,1,2,-4,9.4
James Harden,LAC,LAC vs. UTA,01/01/2026,W,29,20,5,14,35.7,1,6,16.7,9,11,81.8,1,2,3,7,0,0,1,1,5,33.1
Brook Lopez,LAC,LAC vs. UTA,01/01/2026,W,20,3,1,12,8.3,1,12,8.3,0,0,-,0,2,2,1,1,1,0,1,2,12.9
Walter Clayton Jr.,UTA,UTA @ LAC,01/01/2026,L,30,9,2,6,33.3,1,3,33.3,4,4,100,0,2,2,3,1,0,0,0,-9,18.9
Derrick Jones Jr.,LAC,LAC vs. UTA,01/01/2026,W,24,10,4,7,57.1,2,3,66.7,0,0,-,2,4,6,1,0,1,2,3,11,19.7
Svi Mykhailiuk,UTA,UTA @ LAC,01/01/2026,L,24,5,2,9,22.2,1,5,20.0,0,0,-,1,1,2,1,0,0,0,1,-13,8.9
Kyle Filipowski,UTA,UTA @ LAC,01/01/2026,L,28,4,2,13,15.4,0,5,0.0,0,0,-,1,5,6,1,0,1,4,5,-18,11.7
Isaiah Collier,UTA,UTA @ LAC,01/01/2026,L,37,16,6,9,66.7,1,3,33.3,3,5,60.0,0,6,6,10,0,1,5,3,-15,36.2
Kyle Anderson,UTA,UTA @ LAC,01/01/2026,L,32,22,8,10,80.0,0,0,-,6,7,85.7,3,5,8,1,2,2,2,3,7,43.1
Jordan Miller,LAC,LAC vs. UTA,01/01/2026,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,3,1.5
Oscar Tshiebwe,UTA,UTA @ LAC,01/01/2026,L,15,2,1,4,25.0,0,0,-,0,1,0.0,2,4,6,1,1,0,0,2,-3,13.7
Nicolas Batum,LAC,LAC vs. UTA,01/01/2026,W,28,14,4,6,66.7,4,6,66.7,2,2,100,1,1,2,1,1,0,0,2,11,20.9
Cody Williams,UTA,UTA @ LAC,01/01/2026,L,26,18,6,10,60.0,2,5,40.0,4,5,80.0,0,0,0,0,0,1,0,2,-10,21.0
Kobe Brown,LAC,LAC vs. UTA,01/01/2026,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,3,-1.0
Yanic Konan Niederhäuser,LAC,LAC vs. UTA,01/01/2026,W,27,6,3,7,42.9,0,0,-,0,0,-,6,4,10,1,0,2,1,4,18,24.5
Taylor Hendricks,UTA,UTA @ LAC,01/01/2026,L,17,5,2,2,100,1,1,100,0,0,-,0,2,2,0,1,0,2,4,-10,8.4
Neemias Queta,BOS,BOS @ SAC,01/01/2026,W,23,13,5,6,83.3,0,0,-,3,5,60.0,0,5,5,0,1,3,1,0,-2,30.0
Trayce Jackson-Davis,GSW,GSW @ CHA,12/31/2025,W,5,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8,0.0
Josh Green,CHA,CHA vs. GSW,12/31/2025,L,17,5,2,5,40.0,1,2,50.0,0,0,-,2,0,2,2,0,0,0,1,-1,10.4
Jimmy Butler III,GSW,GSW @ CHA,12/31/2025,W,31,19,4,8,50.0,0,1,0.0,11,12,91.7,1,4,5,7,1,0,3,1,8,35.5
Pat Spencer,GSW,GSW @ CHA,12/31/2025,W,6,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,3,0.0
Quinten Post,GSW,GSW @ CHA,12/31/2025,W,14,9,3,7,42.9,3,7,42.9,0,0,-,0,1,1,0,1,0,1,1,6,12.2
Sion James,CHA,CHA vs. GSW,12/31/2025,L,26,9,3,4,75.0,1,1,100,2,3,66.7,0,1,1,3,1,0,0,3,1,17.7
LaMelo Ball,CHA,CHA vs. GSW,12/31/2025,L,30,27,9,13,69.2,7,10,70.0,2,2,100,1,4,5,5,3,0,5,1,-3,44.5
Al Horford,GSW,GSW @ CHA,12/31/2025,W,13,8,3,7,42.9,2,6,33.3,0,0,-,0,2,2,0,0,0,0,0,-6,10.4
Moses Moody,GSW,GSW @ CHA,12/31/2025,W,19,7,3,7,42.9,1,3,33.3,0,0,-,1,4,5,2,1,1,0,1,0,22.0
Gary Payton II,GSW,GSW @ CHA,12/31/2025,W,10,9,4,4,100,1,1,100,0,0,-,0,1,1,0,0,0,0,4,-9,10.2
Brandon Miller,CHA,CHA vs. GSW,12/31/2025,L,36,33,14,29,48.3,3,12,25.0,2,3,66.7,1,1,2,2,1,0,3,4,-7,38.4
Moussa Diabaté,CHA,CHA vs. GSW,12/31/2025,L,28,0,0,3,0.0,0,0,-,0,0,-,2,6,8,3,1,1,2,4,-8,18.1
Will Richard,GSW,GSW @ CHA,12/31/2025,W,17,5,2,3,66.7,1,2,50.0,0,0,-,2,0,2,3,1,0,2,3,1,12.9
Stephen Curry,GSW,GSW @ CHA,12/31/2025,W,33,26,9,16,56.3,5,10,50.0,3,3,100,0,2,2,4,0,1,5,4,11,32.4
PJ Hall,CHA,CHA vs. GSW,12/31/2025,L,16,9,4,6,66.7,0,0,-,1,2,50.0,2,5,7,2,0,0,0,0,-1,20.4
Kon Knueppel,CHA,CHA vs. GSW,12/31/2025,L,32,20,7,11,63.6,4,7,57.1,2,2,100,2,3,5,8,0,0,1,4,-4,37.0
De'Anthony Melton,GSW,GSW @ CHA,12/31/2025,W,23,7,3,8,37.5,1,3,33.3,0,0,-,3,0,3,2,2,0,3,3,2,16.6
Gui Santos,GSW,GSW @ CHA,12/31/2025,W,17,13,5,6,83.3,3,4,75.0,0,0,-,2,3,5,2,0,1,0,0,15,25.0
Draymond Green,GSW,GSW @ CHA,12/31/2025,W,28,10,4,6,66.7,2,4,50.0,0,0,-,1,7,8,12,1,0,4,2,18,36.6
Collin Sexton,CHA,CHA vs. GSW,12/31/2025,L,27,16,6,16,37.5,0,5,0.0,4,5,80.0,1,4,5,8,3,0,4,5,1,39.0
Tidjane Salaün,CHA,CHA vs. GSW,12/31/2025,L,17,6,3,5,60.0,0,2,0.0,0,0,-,0,1,1,1,1,0,0,0,-7,11.7
Brandin Podziemski,GSW,GSW @ CHA,12/31/2025,W,23,19,6,9,66.7,5,7,71.4,2,2,100,0,3,3,3,0,0,1,1,-6,26.1
Liam McNeeley,CHA,CHA vs. GSW,12/31/2025,L,11,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,1,1,0,0,1,-6,5.7
Keaton Wallace,ATL,ATL vs. MIN,12/31/2025,W,4,0,0,1,0.0,0,0,-,0,0,-,0,0,0,1,0,0,0,0,-1,1.5
Joan Beringer,MIN,MIN @ ATL,12/31/2025,L,8,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,1,0,0,5,5.4
Mouhamed Gueye,ATL,ATL vs. MIN,12/31/2025,W,4,0,0,1,0.0,0,0,-,0,0,-,0,1,1,1,1,0,0,0,-1,5.7
Leonard Miller,MIN,MIN @ ATL,12/31/2025,L,8,7,3,4,75.0,1,2,50.0,0,0,-,0,0,0,0,0,0,0,1,5,7.0
Rob Dillingham,MIN,MIN @ ATL,12/31/2025,L,8,5,2,4,50.0,1,1,100,0,0,-,0,2,2,3,0,0,0,0,5,11.9
Joe Ingles,MIN,MIN @ ATL,12/31/2025,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,1,-1.0
Johnny Juzang,MIN,MIN @ ATL,12/31/2025,L,8,10,4,6,66.7,2,3,66.7,0,0,-,0,3,3,1,0,0,0,0,5,15.1
Nickeil Alexander-Walker,ATL,ATL vs. MIN,12/31/2025,W,31,11,4,12,33.3,3,7,42.9,0,0,-,0,0,0,3,0,0,2,2,11,13.5
Mike Conley,MIN,MIN @ ATL,12/31/2025,L,14,2,0,2,0.0,0,2,0.0,2,2,100,0,2,2,0,0,0,0,1,-19,4.4
Zaccharie Risacher,ATL,ATL vs. MIN,12/31/2025,W,28,9,4,10,40.0,1,5,20.0,0,2,0.0,1,3,4,1,0,0,0,1,8,15.3
Vít Krejčí,ATL,ATL vs. MIN,12/31/2025,W,26,6,2,8,25.0,2,7,28.6,0,0,-,0,1,1,5,2,1,0,2,17,23.7
Onyeka Okongwu,ATL,ATL vs. MIN,12/31/2025,W,27,17,6,13,46.2,2,5,40.0,3,3,100,3,5,8,5,0,0,0,3,3,34.1
Jaden McDaniels,MIN,MIN @ ATL,12/31/2025,L,22,8,3,5,60.0,2,3,66.7,0,0,-,1,3,4,2,0,1,2,3,-12,16.8
Jalen Johnson,ATL,ATL vs. MIN,12/31/2025,W,32,34,15,22,68.2,3,6,50.0,1,1,100,2,8,10,6,2,1,3,1,12,61.0
Luke Kennard,ATL,ATL vs. MIN,12/31/2025,W,27,15,6,12,50.0,2,5,40.0,1,1,100,2,4,6,5,1,0,1,1,21,31.7
Rudy Gobert,MIN,MIN @ ATL,12/31/2025,L,28,6,3,6,50.0,0,0,-,0,0,-,4,7,11,3,1,0,1,1,-22,25.7
Dyson Daniels,ATL,ATL vs. MIN,12/31/2025,W,28,11,5,8,62.5,0,0,-,1,3,33.3,4,4,8,9,2,2,1,2,16,45.1
Anthony Edwards,MIN,MIN @ ATL,12/31/2025,L,33,30,10,18,55.6,3,8,37.5,7,8,87.5,1,4,5,2,1,2,2,0,-21,46.0
Donte DiVincenzo,MIN,MIN @ ATL,12/31/2025,L,26,6,2,8,25.0,2,6,33.3,0,0,-,2,0,2,7,1,0,1,2,-10,20.9
Jaylen Clark,MIN,MIN @ ATL,12/31/2025,L,16,3,1,4,25.0,0,3,0.0,1,2,50.0,0,0,0,0,1,1,1,1,-13,8.0
Naz Reid,MIN,MIN @ ATL,12/31/2025,L,22,6,2,10,20.0,0,5,0.0,2,2,100,1,6,7,1,0,1,3,4,-23,15.9
Kristaps Porziņģis,ATL,ATL vs. MIN,12/31/2025,W,17,16,6,12,50.0,2,4,50.0,2,4,50.0,1,1,2,1,0,0,1,2,22,18.9
Bones Hyland,MIN,MIN @ ATL,12/31/2025,L,13,0,0,7,0.0,0,3,0.0,0,0,-,0,1,1,1,0,0,2,1,-10,0.7
Julius Randle,MIN,MIN @ ATL,12/31/2025,L,31,19,7,13,53.8,3,4,75.0,2,4,50.0,1,6,7,2,1,0,1,2,-11,32.4
Asa Newell,ATL,ATL vs. MIN,12/31/2025,W,16,7,3,5,60.0,1,3,33.3,0,2,0.0,3,6,9,1,1,0,0,1,12,22.3
Goga Bitadze,ORL,ORL @ IND,12/31/2025,W,19,14,6,7,85.7,0,0,-,2,2,100,5,4,9,3,0,0,2,2,3,27.3
Jay Huff,IND,IND vs. ORL,12/31/2025,L,11,0,0,3,0.0,0,2,0.0,0,0,-,0,0,0,1,2,0,2,3,-16,5.5
Jamal Cain,ORL,ORL @ IND,12/31/2025,W,12,11,3,4,75.0,1,2,50.0,4,4,100,0,0,0,1,0,0,0,0,6,12.5
Jalen Suggs,ORL,ORL @ IND,12/31/2025,W,25,11,4,11,36.4,1,4,25.0,2,3,66.7,1,2,3,3,3,0,3,4,2,25.1
Wendell Carter Jr.,ORL,ORL @ IND,12/31/2025,W,29,6,1,4,25.0,0,2,0.0,4,6,66.7,1,10,11,2,0,0,0,2,-1,22.2
Jarace Walker,IND,IND vs. ORL,12/31/2025,L,18,9,4,7,57.1,1,2,50.0,0,0,-,0,4,4,0,1,0,0,1,-3,16.8
Anthony Black,ORL,ORL @ IND,12/31/2025,W,31,15,6,11,54.5,0,3,0.0,3,3,100,0,4,4,5,2,1,4,3,7,32.3
Andrew Nembhard,IND,IND vs. ORL,12/31/2025,L,31,19,9,15,60.0,1,5,20.0,0,0,-,0,4,4,7,1,0,3,2,0,34.3
Pascal Siakam,IND,IND vs. ORL,12/31/2025,L,34,26,9,20,45.0,3,8,37.5,5,10,50.0,0,4,4,0,2,1,1,5,-6,38.8
Paolo Banchero,ORL,ORL @ IND,12/31/2025,W,35,29,12,21,57.1,0,1,0.0,5,7,71.4,0,10,10,4,1,3,5,2,2,54.0
Bennedict Mathurin,IND,IND vs. ORL,12/31/2025,L,37,23,4,10,40.0,2,6,33.3,13,13,100,0,5,5,2,0,0,5,1,-7,27.0
Aaron Nesmith,IND,IND vs. ORL,12/31/2025,L,32,9,3,11,27.3,2,6,33.3,1,2,50.0,3,7,10,0,3,1,0,4,10,33.0
Desmond Bane,ORL,ORL @ IND,12/31/2025,W,33,18,7,17,41.2,1,4,25.0,3,3,100,1,6,7,6,0,0,2,3,2,33.4
Tristan da Silva,ORL,ORL @ IND,12/31/2025,W,15,0,0,5,0.0,0,2,0.0,0,0,-,0,4,4,3,0,0,1,3,5,8.3
Tyus Jones,ORL,ORL @ IND,12/31/2025,W,24,4,2,7,28.6,0,3,0.0,0,0,-,0,1,1,1,1,0,0,1,3,9.7
Ben Sheppard,IND,IND vs. ORL,12/31/2025,L,19,12,4,7,57.1,2,3,66.7,2,2,100,0,1,1,0,0,0,0,1,7,13.2
Micah Potter,IND,IND vs. ORL,12/31/2025,L,26,8,2,4,50.0,1,3,33.3,3,3,100,0,3,3,3,0,0,1,3,23,15.1
Jase Richardson,ORL,ORL @ IND,12/31/2025,W,8,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,2,1,-5,1.0
Johnny Furphy,IND,IND vs. ORL,12/31/2025,L,5,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,2,-7,2.4
T.J. McConnell,IND,IND vs. ORL,12/31/2025,L,17,4,1,4,25.0,0,0,-,2,2,100,0,1,1,8,1,1,3,1,-2,20.2
Noah Penda,ORL,ORL @ IND,12/31/2025,W,9,4,2,3,66.7,0,0,-,0,0,-,0,0,0,0,1,0,0,2,-14,7.0
Tony Bradley,IND,IND vs. ORL,12/31/2025,L,12,0,0,2,0.0,0,0,-,0,0,-,2,3,5,1,0,0,1,1,-9,6.5
Isaiah Livers,PHX,PHX @ CLE,12/31/2025,L,6,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,0,0,1,4,3.9
Khaman Maluach,PHX,PHX @ CLE,12/31/2025,L,4,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,1,1,0,8,3.2
Jarrett Allen,CLE,CLE vs. PHX,12/31/2025,W,27,16,7,12,58.3,0,0,-,2,2,100,3,8,11,3,0,0,2,0,18,31.7
Craig Porter Jr.,CLE,CLE vs. PHX,12/31/2025,W,29,2,1,3,33.3,0,2,0.0,0,0,-,4,5,9,2,1,1,0,2,8,21.8
Evan Mobley,CLE,CLE vs. PHX,12/31/2025,W,29,16,7,10,70.0,0,1,0.0,2,3,66.7,2,8,10,5,1,5,2,3,15,51.5
Jordan Goodwin,PHX,PHX @ CLE,12/31/2025,L,22,4,1,11,9.1,0,2,0.0,2,3,66.7,8,7,15,1,1,0,1,3,-11,25.5
Jamaree Bouyea,PHX,PHX @ CLE,12/31/2025,L,15,18,7,12,58.3,2,3,66.7,2,2,100,2,1,3,4,0,0,0,0,-4,27.6
Tyrese Proctor,CLE,CLE vs. PHX,12/31/2025,W,4,0,0,2,0.0,0,1,0.0,0,0,-,1,0,1,1,0,0,0,0,-8,2.7
