pos,tsc,team_name,gp,pts,reb,ast,3pm,stl,blk,to,fd pts
PF,TOR,Toronto Raptors,35,22.20,9.23,3.32,2.60,1.64,1.06,2.60,43.76
PF,UTA,Utah Jazz,33,23.81,8.95,5.46,2.41,1.62,1.10,2.31,48.59
PF,WAS,Washington Wizards,32,24.44,10.87,4.97,2.53,1.71,1.12,2.17,51.26
C,ATL,Atlanta Hawks,35,23.63,14.49,4.10,0.89,1.32,1.82,3.03,53.56
C,BKN,Brooklyn Nets,31,22.94,13.63,3.16,1.41,1.45,2.08,2.42,52.21
C,BOS,Boston Celtics,33,22.58,13.89,3.38,1.78,0.94,1.78,2.98,49.50
C,CHA,Charlotte Hornets,33,21.83,12.96,4.37,2.09,1.39,1.93,2.51,51.39
C,CHI,Chicago Bulls,33,23.59,14.93,4.79,1.76,1.76,2.87,2.17,60.41
C,CLE,Cleveland Cavaliers,35,20.98,15.93,3.50,1.19,1.99,2.07,3.14,54.39
C,DAL,Dallas Mavericks,35,25.59,14.98,4.73,1.36,1.50,1.86,2.58,58.16
C,DEN,Denver Nuggets,33,23.16,13.89,3.95,1.77,1.42,1.52,1.94,52.63
C,DET,Detroit Pistons,34,18.64,12.64,3.22,1.46,1.61,2.21,3.00,47.10
C,GSW,Golden State Warriors,34,22.12,15.68,4.60,1.01,1.23,1.68,2.65,53.92
C,HOU,Houston Rockets,31,22.74,11.55,4.09,1.40,1.36,1.91,2.51,50.04
C,IND,Indiana Pacers,34,24.45,14.75,4.75,1.13,0.98,1.69,2.79,54.50
C,LAC,Los Angeles Clippers,33,21.29,14.25,3.59,1.42,1.74,1.52,2.23,51.33
C,LAL,Los Angeles Lakers,31,17.90,12.64,3.80,0.66,1.72,1.60,3.29,45.44
C,MEM,Memphis Grizzlies,33,19.79,13.97,5.53,1.17,1.49,1.88,2.98,51.98
C,MIA,Miami Heat,34,21.37,15.71,4.17,1.05,1.16,2.14,2.80,53.58
C,MIL,Milwaukee Bucks,34,20.70,13.87,3.36,0.96,1.43,1.46,2.39,48.66
C,MIN,Minnesota Timberwolves,34,23.13,13.30,4.49,1.41,1.26,1.48,2.86,51.19
C,NOP,New Orleans Pelicans,35,24.08,15.36,5.26,1.55,1.48,2.21,2.97,58.50
C,NYK,New York Knicks,33,20.25,15.36,3.28,1.83,1.18,2.06,2.21,51.11
C,OKC,Oklahoma City Thunder,34,18.35,13.74,3.49,1.54,1.25,1.72,3.49,45.49
C,ORL,Orlando Magic,34,19.73,14.69,4.22,0.67,1.15,2.39,2.80,51.51
C,PHI,Philadelphia 76ers,32,22.93,14.50,3.62,1.55,1.36,2.10,2.40,53.74
C,PHO,Phoenix Suns,33,22.07,14.30,3.85,1.28,1.46,2.12,3.48,52.27
C,POR,Portland Trail Blazers,34,25.10,13.81,4.05,1.85,1.56,3.48,3.27,59.60
C,SAC,Sacramento Kings,34,26.16,16.16,4.89,1.40,1.88,2.43,2.70,63.12
C,SAS,San Antonio Spurs,33,21.98,14.83,5.34,1.16,1.35,1.88,2.82,54.66
C,TOR,Toronto Raptors,35,20.63,14.38,3.12,1.05,1.13,2.38,2.65,50.45
C,UTA,Utah Jazz,33,24.78,13.90,4.12,1.75,1.49,2.63,2.07,57.93
C,WAS,Washington Wizards,32,24.86,16.91,3.99,1.73,1.50,2.82,2.33,61.77
